year,month,total_words,positive,negative,strong,weak,active,passive,sentiment_score,famine_terms,grain_terms,processed_grain_terms,livestock_terms,potato_terms,hay_terms
1855,2,3483915,149510,69700,237990,38852,147218,80163,2.00%,575,106,1,59,74,35
1855,4,856822,36302,16298,57395,9794,34080,18872,1.90%,151,18,0,26,13,6
1855,6,1005283,44753,20628,66602,10846,42012,22645,2.05%,122,24,1,8,7,3
1855,8,679958,29881,13537,45984,7632,28818,15432,1.99%,102,18,0,9,6,2
1856,2,3521257,155409,65663,236241,38307,143375,79174,1.86%,521,154,0,61,12,18
1856,4,859610,36846,16487,57054,9771,34023,18825,1.92%,102,62,0,9,7,5
1856,6,944525,43119,18851,62858,10284,37983,22002,2.00%,223,41,0,15,2,1
1856,8,488305,20506,9495,32048,5406,20032,11284,1.94%,54,3,0,9,1,0
1857,2,4002354,168526,80434,259503,45011,162792,91211,2.01%,541,155,2,42,11,8
1857,4,334068,14027,6870,21939,3861,14111,8021,2.06%,43,4,1,12,1,2
1857,6,1057281,43625,20836,66889,12176,40910,23503,1.97%,154,41,1,10,2,4
1857,8,1223274,51556,24167,79001,12865,48642,27017,1.98%,153,44,0,4,3,2
1857,12,255474,10758,4895,17434,3175,11916,6410,1.92%,47,10,0,2,1,0
1858,2,3625021,158146,69336,250919,39730,149846,81689,1.91%,529,173,0,33,21,3
1858,4,784234,33243,14325,52716,8794,31865,17849,1.83%,132,89,0,17,15,0
1858,6,1230731,53155,22934,84870,13179,50174,27244,1.86%,123,68,0,13,4,0
1858,8,665596,29348,11821,45281,6777,26652,14130,1.78%,78,10,0,1,0,3
1859,2,2901026,124423,52382,195544,32868,122026,65745,1.81%,269,89,8,31,8,7
1859,4,1009225,42889,18351,66836,11714,41988,22538,1.82%,90,34,2,7,0,1
1859,6,190032,9044,3808,14276,2067,8824,4787,2.00%,21,5,0,3,0,0
1859,8,932454,38571,16355,63931,10307,37818,21010,1.75%,94,32,0,13,2,4
1860,2,5022942,209162,96852,338143,56876,209669,110078,1.93%,558,266,33,133,37,48
1860,4,1147425,47323,21655,75913,13174,47855,24623,1.89%,148,56,1,36,4,3
1860,6,1154279,46305,22325,76932,13199,48466,24719,1.93%,149,43,0,35,12,11
1860,8,1127530,46665,21520,77579,12373,46290,24593,1.91%,153,33,0,2,1,2
1861,2,3639095,148845,70286,243838,42469,147185,80391,1.93%,618,192,6,54,23,28
1861,4,929044,36485,18581,62457,10812,37577,20225,2.00%,181,63,1,24,2,4
1861,6,1072230,43227,20849,72751,11938,42701,23248,1.94%,155,47,1,24,5,13
1861,8,710635,29412,12483,46927,8135,28062,15595,1.76%,140,20,0,2,2,3
1862,2,3065840,125960,60361,206914,36222,126635,68950,1.97%,758,223,7,53,64,72
1862,4,849582,35205,16922,58778,9674,34966,18464,1.99%,82,26,0,13,3,22
1862,6,945009,38412,18603,62683,11410,38208,20883,1.97%,292,28,1,4,17,26
1862,8,580674,22357,11806,39272,6874,23988,13090,2.03%,102,61,2,8,2,14
